FAMILIA,OBJETO_ALCANCE,APLICA_PMA_PSM,NUM_FICHAS,FICHAS_APLICAN,PMOOR-1,PMOOR-2,AS-1,AS-2,AS-3,AS-4,AS-5,AS-6,AS-7,AS-8: PMCOR-2,AS-9,AS-10: PMCOR-18,AS-11: PMAAH-5,ARH-1,ARH-2,ARA-1,ARA-2,ACA-1,ACA-2,BS-1,BS-2,BS-3,BPCH-1,BRAI-1,BH-1,BCEVF-1,BC-1,BC-2,BC-3,GS-1,GS-2,GS-3,GS-4,GS-5,GS-6,PGSO1-8,PSMA-1,ASM-1,ASM-2,ASM-3,ASM-4,ASM-5,ASM-6,PM-1,BSM-1,BSM-2,BSM-3,SSM-1,SSM-2,SSM-3,SSM-4
"Automatización, control y medición",SERVICIO DE INSPECCIÓN Y CERTIFICACIÓN DE CALIDAD Y CANTIDAD DE LAS TRANSFERENCIAS DE CRUDO PARA EL OLEODUCTO DE LOS LLANOS ORIENTALES S.A.,False,0,[],False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"Automatización, control y medición",SERVICIOS DE DIAGNÓSTICO Y GERENCIAMIENTO DE ALARMAS PARA SISTEMAS DE CONTROL EBR Y ER2,False,0,[],False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"Automatización, control y medición",MANTENIMIENTO ESPECIALIZADO A SISTEMAS DE MEDICIÓN EMERSON PROCESS,False,0,[],False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"Automatización, control y medición",MANTENIMIENTO ESPECIALIZADO DE COMPUTADORES DE FLUJO OMNI,False,0,[],False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"Automatización, control y medición","MANTENIMIENTO ESPECIALIZADO A PROBADORES COMPACTOS PARA RUBIALES, MONTERREY Y CUSIANA",False,0,[],False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Capacitación,Campañas asociadas al plan estratégico de seguridad vial (PESV) de ODL/BIC.,False,0,[],False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Capacitación,"Diseñar e implementar capacitación virtual para la sensibilización, entrenamiento y certificación de los técnicos eléctricos de las estaciones y línea en Sistemas de aislamiento eléctricos seguros para ODL y BIC.",False,0,[],False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Capacitación,Talleres de capacitación certificados y entrenamiento en el conocimiento de las serpientes y fauna venenosa peligrosa; y asistencia en prevención del incidente con fauna peligrosa,True,3,"['BS-3', 'GS-3', 'SSM-3']",False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
Capacitación,"Capacitar y entrenar brigadas de emergencias ODL-BIC oficinas Bogotá, temas: primeros auxilios, evacuación y rescate, control de incendios. Elementos de promoción y prevención en emergencias para las Oficinas Bogotá.",True,2,"['GS-3', 'SSM-3']",False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
Capacitación,Capacitación para la toma de alcoholimetrias,False,0,[],False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Capacitación,Suministro de los servicios de logistica para reuniones y eventos de ODL en área de influencia (Casanare),False,0,[],False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Capacitación,Suministro de los servicios de logistica para reuniones y eventos de ODL en área de influencia (Meta),False,0,[],False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Capacitación,CAPACITACIONES GERENTE DE ZONA JAGUEY,False,0,[],False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Capacitación,CALIFICACIÓN DE OPERADORES  ESTACION JAGUEY,False,0,[],False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Capacitación,Servicio de certificación de brigadas industriales,False,0,[],False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Capacitación,"Proyecto de adopción, uso y consumo para Office 365 presentado a la compañía la cual es clave para gestionar efectos innovadores de cambio en los procesos de negocios, cambios en la productividad organizacional y cambios culturales dentro de la empresa.",False,0,[],False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Capacitación,Campañas asociadas al plan estratégico de seguridad vial (PESV) de ODL/BIC.,False,0,[],False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Capacitación,"Diseñar e implementar capacitación virtual para la sensibilización, entrenamiento y certificación de los técnicos eléctricos de las estaciones y línea en Sistemas de aislamiento eléctricos seguros para ODL y BIC.",False,0,[],False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"Compras Aire acondicionado, refrigeración y ventilación",Suministro e instalación de aires acondicionados para las estaciones de ODL y bodega de la guafilla,False,0,[],False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"Compras Eléctricos, electrónica, comunicaciones, instrumentación",Instalación de transferencia automática para la planta Jagüey,False,0,[],False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"Compras Eléctricos, electrónica, comunicaciones, instrumentación",Suministro de elementos de protección personal y rescate en trabajos en alturas para las estaciones de ODL.,False,0,[],False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"Compras Eléctricos, electrónica, comunicaciones, instrumentación",Suministro de elementos de protección personal para trabajos en altura con destino a las estaciones ODL.,False,0,[],False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"Compras Eléctricos, electrónica, comunicaciones, instrumentación","Suministro de dotación de trabajo para el personal operativo de ODL en estaciones y línea, incluye camisa con logo y pantalón.",False,0,[],False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"Compras Eléctricos, electrónica, comunicaciones, instrumentación","Suministro de dotación de trabajo representada por botas de seguridad para personal operativo de ODL/BIC, de las estaciones y línea.",False,0,[],False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"Compras Eléctricos, electrónica, comunicaciones, instrumentación",Suministro de señalización industrial para las estaciones de ODL.,False,0,[],False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"Compras Eléctricos, electrónica, comunicaciones, instrumentación",Acuerdo de precios para el suministro de elementos de protección personal (EPP) y elementos de seguridad industrial para las estaciones de ODL.,False,0,[],False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"Compras Eléctricos, electrónica, comunicaciones, instrumentación",Adquisición de consumibles para la atención de emergencias en ODL,False,0,[],False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"Compras Eléctricos, electrónica, comunicaciones, instrumentación","Acuerdo de precios para el suministro de señalización industrial, derivado de AMP entre ODL y el Consejo Colombiano de Seguridad (CCS).",False,0,[],False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"Compras Eléctricos, electrónica, comunicaciones, instrumentación",Suministro de consumibles adicionales para atención de emergencias,False,0,[],False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Compras Lubricantes y combustibles,Compra de Reductor de Fricción,False,0,[],False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Compras Lubricantes y combustibles,Compra de Destilado Residual / Crudo,False,0,[],False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"Compras Papelería, útiles, muebles, equipos y enseres de oficina",Compra obsequios de Navidad hijos Colaboradores ODL,False,0,[],False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"Compras Papelería, útiles, muebles, equipos y enseres de oficina",Realizar la compra de  una (1)Nevera tipo de 87Litros (Lts) y una aspiradora tipo Semi Industrial.,False,0,[],False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Comunicaciones,"SERVICIO DE DISEÑO DE PIEZAS DE COMUNICACIÓN, HOSTING, Y MANTENIMIENTO DE PORTALES WEB E INTRANET PARA OLEODUCTO DE LOS LLANOS ORIENTALES Y OLEODUCTO BICENTENARIO",False,0,[],False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Comunicaciones,Prestar los servicios para el diseño y producción de piezas de comunicación.,False,0,[],False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Comunicaciones,"Prestar el servicio para la publicación de avisos de prensa, en medios de comunicación de circulación nacional y regional.",False,0,[],False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Comunicaciones,"Prestar el servicio de cubrimientos periodísticos, de fotografía y video, de los eventos adelantados por la Compañía en su zona de influencia.",False,0,[],False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Comunicaciones,Participar en eventos relacionados con el sector hidrocarburos o a los cuales el Grupo de Transporte asista conjuntamente.,False,0,[],False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Comunicaciones,Realizar un video corporativo de presentación de la Compañía hacia los diferentes grupos de interés.,False,0,[],False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Comunicaciones,"Servicio de Telecomunicaciones corporativas para ODL y OBC. Se requiere servicio de telecomunicaciones corporativas hacia Bogotá desde campo, el servicio de Internet, la conexión entre Datacenters y bases de mantenimiento",False,0,[],False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Comunicaciones,"Prestar los servicios para el desarrollo de la estrategia de comunicaciones, diseño y producción de piezas de comunicación",False,0,[],False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Consultoría,Servicio profesional asesoría en derecho laboral y seguridad social para ODL,False,0,[],False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Consultoría,"AUDITORIA AL SISTEMA DE CONTROL INTERNO DE OLEODUCTO DE LOS LLANOS ORIENTALES, S.A. - SUCURSAL COLOMBIA Y OLEODUCTO BICENTENARIO DE COLOMBIA S.A.S. 2019 - 2021",False,0,[],False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Consultoría,"Prestar los servicios de Consultoría en situaciones de crisis, duración de 1 a 6 días; consultoría en situaciones de crisis, duración de 7 a 15 días, y la realización de un taller de voceros, estructurado de acuerdo con la realidad de ODL",False,0,[],False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Consultoría,"El Contratista, en virtud de su experiencia en la práctica del derecho, se obligaría para con ODL y/o Bicentenario a prestar servicios de asesoría legal laboral permanente, por expresa solicitud de cualquiera de las Compañías, y en razón del desarrollo de las actividades propias del objeto social de ODL y/o Bicentenario, que incluyen aunque no se limitan a la administración de sus relaciones colectivas y con empresas contratistas (los “Servicios”).",False,0,[],False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Consultoría,Consultoria y asesoría técnica durante la implementación del Sistema Gestión Seguridad de Procesos,False,0,[],False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
